"state","county","year","count","total_size","average_cost_per_watt","sum_cost","concat_code","state_code","county_code"
"NM","Catron","2012",4,23.96,6.7572358147,171683.35,"35003","35","003"
"NM","Chaves","2012",7,64.935,6.1972529011428571,406446.6,"35005","35","005"
"NM","Colfax","2012",4,21.3,4.9541652381,102460.26,"35037","35","037"
"NM","Do±a Ana","2012",674,40472.617,4.7347180184318452,16106339.6,"35013","35","013"
"NM","Eddy","2012",2,15.66,6.1430651341,92381.2,"35027","35","027"
"NM","Grant","2012",23,91.67,6.3623467449478261,557090.19,"35053","35","053"
"NM","Lea","2012",1,5.5,5.5,30250,"35025","35","025"
"NM","Lincoln","2012",7,40.04,5.4885850375142857,276006.28,"35073","35","073"
"NM","Luna","2012",2,2.52,7.6822420635,19364.9,"35029","35","029"
"NM","Otero","2012",29,165.945,4.7486133365206897,634816.93,"35089","35","089"
"NM","Rio Arriba","2012",8,30.3,4.9757173574625,143849.5,"35039","35","039"
"NM","Roosevelt","2012",2,12.48,5.1509551282,64295.84,"35041","35","041"
"NM","Sandoval","2012",103,580.77,5.4664224371660194,3142606.31,"35043","35","043"
"NM","San Juan","2012",9,50.756,6.1074395270666667,297878,"35055","35","055"
"NM","San Miguel","2012",24,139.465,7.3522738836541667,1135993.82,"35047","35","047"
"NM","Santa Fe","2012",199,987.446,6.6371964393452261,6350271.26,"35049","35","049"
"NM","Sierra","2012",7,39.95,5.2482957692428571,211707.04,"35091","35","091"
"NM","Socorro","2012",7,43.01,5.1530645591571429,194664.07,"35053","35","053"
"NM","Taos","2012",26,1621.994,6.782849035356,777032.66,"35055","35","055"
"NM","Torrance","2012",2,21.12,4.7878787879,101075.2,"35057","35","057"
"NM","Valencia","2012",44,6332.677,5.2713126088906977,1682657.8,"35061","35","061"
"NV","Churchill","2012",1,11.88,5.1223063973,60853,"32001","32","001"
"NV","Clark","2012",136,68500.83119413,4.7724214271819672,29729014.46,"32019","32","019"
"NV","Douglas","2012",57,2213.376399306,4.5636580809684211,9272130.2,"32035","32","035"
"NV","Humboldt","2012",2,11.52,3.90818055555,45001.28,"32023","32","023"
"NV","Lyon","2012",9,1398.7565824,4.2664786492888889,5765241,"32019","32","019"
"NV","Pershing","2012",3,107.73805511,4.0034598214,431163,"32027","32","027"
"NV","Storey","2012",5,124.9760929,4.08659105402,615410.02,"32029","32","029"
"NY","Albany","2012",228,3596.418,5.3283729570004854,17745219.25,"36001","36","001"
"NY","Allegany","2012",16,120.27,5.1208094929875,613384,"36003","36","003"
"NY","Broome","2012",65,917.829,5.3447555307125,3971839.1,"36007","36","007"
"NY","Cattaraugus","2012",15,140.61,5.6945286678066667,824212.8,"36009","36","009"
"NY","Cayuga","2012",97,1123.536,5.4702357743052632,5444510.8,"36011","36","011"
"NY","Chautauqua","2012",43,500.475,5.3870995161465116,2939241,"36013","36","013"
"NY","Chemung","2012",22,195.434,5.9332924482727273,1133560,"36015","36","015"
"NY","Clinton","2012",47,595.62,5.048313732287234,3185718,"36035","36","035"
"NY","Columbia","2012",104,1412.154,5.9932476862754902,8966820.74,"36027","36","027"
"NY","Cortland","2012",10,74.369,5.55753116768,411104,"36023","36","023"
"NY","Delaware","2012",28,356.807,5.5065939908222222,1750532.54,"36045","36","045"
"NY","Dutchess","2012",313,2966.586,5.780055440325614,15168272.18,"36027","36","027"
"NY","Erie","2012",326,5969.02,5.6166423846484568,31998756.32,"36049","36","049"
"NY","Essex","2012",28,175.82,5.1980643678928571,857052,"36057","36","057"
"NY","Franklin","2012",8,65.52,6.95683622685,433425,"36047","36","047"
"NY","Fulton","2012",30,287.382,5.446832048637037,1537210.64,"36049","36","049"
"NY","Genesee","2012",24,415.498,5.865429921226087,2290801.62,"36037","36","037"
"NY","Greene","2012",51,435.452,6.2042241942688889,2412924.86,"36055","36","055"
"NY","Hamilton","2012",2,4.8,4.90916666665,23560,"36065","36","065"
"NY","Jefferson","2012",65,1025.454,4.9012522771246154,4775144.24,"36059","36","059"
"NY","Kings","2012",187,3382.526,7.0689889404762162,17401967.33,"36031","36","031"
"NY","Lewis","2012",5,35.88,5.96577011494,214600,"36041","36","041"
"NY","Livingston","2012",37,227.096,5.6738692934432432,1175434.32,"36051","36","051"
"NY","Madison","2012",44,296.617,5.0050165741136364,1488057.82,"36087","36","087"
"NY","Monroe","2012",137,1520.966,5.4663883372566176,7524715.65,"36095","36","095"
"NY","Montgomery","2012",18,207.66,5.4086561819928571,1035714,"36097","36","097"
"NY","Nassau","2012",289,3282.226,4.9534948257227273,15205247.67,"36059","36","059"
"NY","Niagara","2012",75,820.868,4.9791930140555556,3565479.86,"36063","36","063"
"NY","Oneida","2012",61,1017.076,4.7446541144758621,4332786.9,"36085","36","085"
"NY","Onondaga","2012",131,1856.411,5.1702837677030769,9362310.91,"36067","36","067"
"NY","Ontario","2012",42,513.436,5.2504316469552632,1671245.26,"36069","36","069"
"NY","Orange","2012",279,3426.926,4.9898266070348178,13327217.16,"36059","36","059"
"NY","Orleans","2012",4,25.295,4.73917193295,119718,"36019","36","019"
"NY","Oswego","2012",19,216.909,5.3832038824789474,1084611.71,"36075","36","075"
"NY","Otsego","2012",16,73.58,5.77085566980625,395303.7,"36077","36","077"
"NY","Putnam","2012",49,402.747,6.1315341093977273,2240059.2,"36079","36","079"
